tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
9.00;-6055573#4_0;4.76;4.64;1.00;0.00;6055573#3_0;5.10;0.00;tripinfo_1 emissions_1;8.00;1;0;37.43;0.94;0.00;4.42;DEFAULT_VEHTYPE;;0;0.00;24198.425607;649.810458;3.529635;10.527238;0.495426;0;10.401982
46.00;-421789039#0_1;62.12;12.35;5.00;0.00;421789039#7_0;5.10;0.00;tripinfo_5 emissions_5;41.00;5;0;392.84;0.94;0.00;8.31;DEFAULT_VEHTYPE;;0;0.00;122794.766244;2043.332338;12.187274;50.483236;2.183940;0;52.784309
56.00;-6055023#2_0;37.71;12.46;14.00;0.00;-6063369#8_0;5.10;0.00;tripinfo_14 emissions_14;42.00;14;0;262.42;0.94;0.00;21.14;DEFAULT_VEHTYPE;;2;6.00;119430.239206;2439.780946;13.928568;50.497039;2.296202;0;51.338134
60.00;-6055576#1_0;124.93;15.83;34.00;0.00;-6055573#4_0;4.76;0.00;tripinfo_34 emissions_34;26.00;34;0;290.06;1.18;0.00;6.77;DEFAULT_VEHTYPE;;0;0.00;120042.424896;1917.833771;11.537555;49.959506;2.283635;0;51.600925
63.00;-6057280#0_0;10.66;6.43;16.00;0.00;6055573#3_0;5.10;0.00;tripinfo_16 emissions_16;47.00;16;0;507.06;1.16;0.00;13.96;DEFAULT_VEHTYPE;;1;2.00;160815.283037;2576.635176;15.514073;66.829818;3.059443;0;69.127392
66.00;6060452#11_1;150.87;7.67;0.00;0.00;806271971_1;5.10;0.00;tripinfo_Flow3.0 emissions_Flow3.0;66.00;Flow3.0;0;407.78;1.08;21.00;17.20;passenger;;0;0.00;211170.317463;6159.745472;33.011467;90.893025;4.356469;0;90.774564
66.00;6054382#1_0;21.27;13.99;17.00;0.00;-793432602#2_0;5.10;0.00;tripinfo_17 emissions_17;49.00;17;0;562.59;1.02;0.00;7.23;DEFAULT_VEHTYPE;;0;0.00;141164.385221;2010.957530;12.472438;56.918394;2.421465;0;60.680539
67.00;6061786#4_0;34.48;2.19;0.00;0.00;-6061783#1_1;5.10;0.00;tripinfo_Flow4.0 emissions_Flow4.0;67.00;Flow4.0;0;373.22;1.03;21.00;17.27;passenger;;1;1.00;191781.501275;5846.984402;31.152402;82.743217;3.981104;0;82.440185
71.00;-6057280#3_0;61.01;13.59;8.00;0.00;-112319055#1_0;5.10;0.00;tripinfo_8 emissions_8;63.00;8;0;683.44;1.03;0.00;14.71;DEFAULT_VEHTYPE;;0;0.00;242778.588354;3840.979297;23.254920;101.349362;4.617303;0;104.359723
74.00;-6054524#0_0;257.49;15.30;27.00;0.00;-6061782#0_0;5.10;0.00;tripinfo_27 emissions_27;47.00;27;0;526.23;1.18;0.00;17.89;DEFAULT_VEHTYPE;;1;4.00;172278.812929;2846.211906;17.039637;72.417395;3.411919;0;74.054932
75.00;-6061786#14_0;47.86;13.57;42.00;0.00;131463037_0;5.10;0.00;tripinfo_42 emissions_42;33.00;42;0;302.73;1.09;0.00;16.12;DEFAULT_VEHTYPE;;0;0.00;161502.762944;3016.317776;17.601593;69.469203;3.325048;0;69.422824
76.00;-6061786#9_0;57.33;12.13;24.00;0.00;6061786#1_0;5.10;0.00;tripinfo_24 emissions_24;52.00;24;0;521.91;0.95;0.00;10.43;DEFAULT_VEHTYPE;;0;0.00;166988.139546;2766.005495;16.530051;69.070817;3.040342;0;71.781068
82.00;800638460#4_0;106.19;24.39;44.00;0.00;-6055573#9_0;5.10;0.00;tripinfo_44 emissions_44;38.00;44;0;450.19;0.90;0.00;9.38;DEFAULT_VEHTYPE;;0;0.00;182861.164214;2919.727907;17.687348;76.351525;3.641642;0;78.603768
83.00;6061782#2_0;27.21;11.49;50.00;0.00;6060452#10_0;5.10;0.00;tripinfo_50 emissions_50;33.00;50;0;261.33;1.10;0.00;12.55;DEFAULT_VEHTYPE;;0;0.00;136319.481125;2672.391466;15.399680;57.934786;2.670175;0;58.597954
86.00;6055573#2_0;162.56;15.54;28.00;0.00;6063369#2_0;5.10;0.00;tripinfo_28 emissions_28;58.00;28;0;277.05;1.15;0.00;40.37;DEFAULT_VEHTYPE;;2;27.00;172970.072002;5562.177481;29.356910;73.758880;3.533393;0;74.354186
89.00;421789044#1_0;117.75;11.36;3.00;0.00;-507342038#0_0;5.10;0.00;tripinfo_3 emissions_3;86.00;3;0;971.27;1.05;0.00;12.15;DEFAULT_VEHTYPE;;0;0.00;235282.002413;3475.386172;21.370509;96.138004;4.181245;0;101.137532
