interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;206185.579639;6398.311238;8694.206947;3145.776756;97.619139;132.647657;19.431182;0.602985;0.819353;86.830248;2.694500;3.661362;4.660128;0.144612;0.196503;0;0;0;88.629207;2.750324;3.737219;-106880765#0;51.03;2.15
0.00;3000.00;806271971;372224.734960;12049.357485;12202.416828;5994.637056;194.053533;196.518536;36.454984;1.180091;1.195082;155.882095;5.046089;5.110188;8.190818;0.265147;0.268515;0;0;0;160.001958;5.179454;5.245247;-106880765#1;60.51;1.98
0.00;3000.00;806271971;1096784.759637;34901.662996;25133.156816;42796.187807;1361.851641;980.687678;221.223574;7.039732;5.069406;482.530474;15.354987;11.057333;25.803679;0.821119;0.591299;0;0;0;471.473995;15.003150;10.803970;-106880765#3;368.07;8.43
0.00;3000.00;806271971;175056.124388;55868.975869;1697.030335;4729.116838;1509.292608;45.845038;25.755907;8.219970;0.249683;76.047319;24.270421;0.737218;3.901940;1.245300;0.037826;0;0;0;75.249725;24.015870;0.729486;-106880765#4;41.97;0.41
0.00;3000.00;806271971;1716192.952590;25362.457427;38545.865558;26858.187599;396.919029;603.237583;164.244473;2.427258;3.688947;730.387078;10.793898;16.404567;37.324616;0.551595;0.838315;0;0;0;737.709361;10.902109;16.569026;-106880765#5;209.18;4.70
0.00;3000.00;806271971;3635385.926360;96514.670611;34205.425565;193807.708180;5145.337385;1823.540958;3096.787247;82.215591;29.137739;1479.601721;39.281462;13.921605;299.153642;7.942132;2.814743;0;0;0;1562.527146;41.483022;14.701852;-106880765#6;1648.30;15.51
0.00;3000.00;806271971;3413515.902644;78592.077574;30553.223862;64018.318058;1473.944391;573.006266;893.423195;20.569989;7.996728;1317.141764;30.325597;11.789289;150.560995;3.466485;1.347620;0;0;0;1466.282144;33.759374;13.124194;-106880765#7;388.74;3.48
0.00;3000.00;806271971;101559.379515;5333.534154;4954.909409;2270.641957;119.245967;110.780760;12.699856;0.666951;0.619604;42.563218;2.235267;2.076587;1.892562;0.099391;0.092335;0;0;0;43.656444;2.292680;2.129924;-106882052#0;66.67;3.25
0.00;3000.00;806271971;193202.500629;6505.134701;9463.722847;2254.264522;75.901162;110.421628;14.806656;0.498541;0.725281;77.179554;2.598638;3.780520;3.238271;0.109033;0.158622;0;0;0;83.049216;2.796270;4.068036;-106882052#1;58.06;2.84
0.00;3000.00;806271971;520425.124142;19028.340919;21037.176800;9594.148232;350.791526;387.824844;56.079755;2.050448;2.266915;223.043163;8.155143;9.016087;10.426715;0.381233;0.421480;0;0;0;223.707738;8.179442;9.042952;-106882052#2;92.47;3.74
0.00;3000.00;806271971;4090807.764375;61600.819642;42384.046621;59316.077745;893.202325;614.562099;369.855312;5.569411;3.831997;1741.363975;26.222070;18.041926;88.114755;1.326863;0.912939;0;0;0;1758.439467;26.479199;18.218842;-112319055#0;444.94;4.61
0.00;3000.00;806271971;3727212.335657;29313.506376;36122.661160;80069.864487;629.727601;776.005315;2716.762568;21.366595;26.329783;1254.672977;9.867660;12.159792;295.269495;2.322214;2.861635;0;0;0;1601.305505;12.593830;15.519217;-112319055#1;1403.72;13.60
0.00;3000.00;806271971;2291086.770361;34652.182057;32198.293920;15837.962891;239.545695;222.582309;368.831333;5.578493;5.183453;8947.625253;135.330858;125.747428;189.990336;2.873562;2.670071;0;0;0;980.981065;14.837122;13.786434;-112319056;321.80;4.52
0.00;3000.00;806271971;81761.370185;1161.383099;15438.534987;721.202190;10.244349;136.180512;5.189384;0.073713;0.979882;31.356818;0.445409;5.920930;1.234329;0.017533;0.233071;0;0;0;35.145652;0.499228;6.636354;-112319942#0;33.34;6.30
0.00;3000.00;806271971;84801.067343;7599.796924;7078.650282;1617.608230;144.968624;135.027581;9.375988;0.840268;0.782647;35.830017;3.211055;2.990861;1.646507;0.147558;0.137440;0;0;0;36.452372;3.266829;3.042811;-112319942#1;19.55;1.63
0.00;3000.00;806271971;197296.561597;1142.203174;48697.641993;2571.100932;14.884799;634.610921;16.243604;0.094039;4.009321;78.684699;0.455527;19.421318;3.292779;0.019063;0.812739;0;0;0;84.809310;0.490984;20.933023;-112319942#2;69.90;17.25
0.00;3000.00;806271971;236258.038989;3626.834422;22621.620416;4183.974893;64.228859;400.614058;24.645148;0.378332;2.359764;99.045471;1.520463;9.483567;4.504913;0.069156;0.431344;0;0;0;101.557157;1.559020;9.724060;-112319942#3;78.74;7.54
0.00;3000.00;806271971;271657.518150;3820.333081;19935.072412;3832.178113;53.892110;281.217132;23.823737;0.335034;1.748260;109.579605;1.541023;8.041292;4.681124;0.065831;0.343515;0;0;0;116.773905;1.642197;8.569232;-112319942#4;105.79;7.76
0.00;3000.00;806271971;113460.120234;4228.327462;5540.515425;1675.337076;62.434922;81.810515;10.224927;0.381053;0.499306;44.226834;1.648205;2.159697;1.746102;0.065072;0.085266;0;0;0;48.772033;1.817591;2.381649;-112319942#5;64.30;3.14
0.00;3000.00;806271971;497289.364183;8576.419043;19559.427970;7571.442394;130.579633;297.800622;46.087724;0.794844;1.812726;204.714919;3.530582;8.051865;9.085768;0.156696;0.357362;0;0;0;213.762930;3.686627;8.407742;-112319942#6;164.16;6.46
0.00;3000.00;806271971;439648.348304;8313.552127;27351.394101;15786.971420;298.524515;982.138745;82.172170;1.553839;5.112093;188.290442;3.560487;11.713921;9.134091;0.172722;0.568250;0;0;0;188.991676;3.573747;11.757546;-112319942#7;184.12;11.45
0.00;3000.00;806271971;822612.650991;5996.447462;44603.565290;11332.961046;82.611792;614.493914;70.963947;0.517293;3.847795;334.479895;2.438196;18.136113;14.529980;0.105917;0.787842;0;0;0;353.605050;2.577609;19.173114;-112319942#8;256.30;13.90
0.00;3000.00;806271971;510071.432012;45406.952405;6507.811255;12343.638513;1098.840224;157.487882;68.288370;6.079083;0.871266;217.554766;19.366893;2.775700;10.313748;0.918138;0.131589;0;0;0;219.259685;19.518666;2.797453;-112320365;163.13;2.08
0.00;3000.00;806271971;76449.081379;4561.854682;4024.411107;1533.377621;91.499410;80.719635;8.756304;0.522504;0.460947;30.829833;1.839672;1.622935;1.284427;0.076644;0.067614;0;0;0;32.862597;1.960970;1.729944;-112326324#0;46.78;2.46
0.00;3000.00;806271971;529503.243954;13685.201222;20893.475687;8276.642788;213.912801;326.585034;50.242223;1.298528;1.982490;222.055764;5.739111;8.762018;10.078874;0.260492;0.397699;0;0;0;227.609707;5.882655;8.981169;-112326324#1;111.95;4.42
0.00;3000.00;806271971;51208.235599;12991.518545;1053.841601;690.029803;175.060415;14.200491;4.332410;1.099132;0.089159;20.362148;5.165873;0.419044;0.834714;0.211767;0.017178;0;0;0;22.012265;5.584507;0.453002;-112326325#0;20.02;0.41
0.00;3000.00;806271971;1109268.299985;10083.493372;23829.117944;13150.169261;119.537937;282.489759;85.611876;0.778231;1.839100;434.175457;3.946751;9.326885;17.482545;0.158920;0.375557;0;0;0;476.827445;4.334467;10.243128;-112326325#1;528.38;11.35
0.00;3000.00;806271971;107557.078171;16441.846345;1625.886893;2054.653993;314.087235;31.059183;11.837295;1.809523;0.178939;43.138082;6.594356;0.652097;1.798809;0.274977;0.027192;0;0;0;46.234700;7.067725;0.698907;-112326326#0;48.31;0.73
0.00;3000.00;806271971;735709.080225;11719.778259;14130.191033;8039.760973;128.072656;154.413424;53.604832;0.853920;1.029546;284.950384;4.539234;5.472820;11.189976;0.178255;0.214917;0;0;0;316.250236;5.037837;6.073972;-112326326#1;332.19;6.38
0.00;3000.00;806271971;2825180.378005;30060.440270;29115.776630;42944.095071;456.933092;442.573752;542.587983;5.773236;5.591810;1079.744097;11.488676;11.127639;84.270416;0.896653;0.868475;0;0;0;1213.964046;12.916801;12.510885;-112326326#2;974.06;10.04
0.00;3000.00;806271971;2405.559186;297.594951;1587.341776;14.043304;1.737316;9.266670;0.119576;0.014793;0.078904;0.877208;0.108521;0.578838;0.031318;0.003874;0.020666;0;0;0;1.034048;0.127923;0.682331;-112343437#0;1.04;0.69
