interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;196893.042117;6109.947001;8302.369436;2743.702247;85.142040;115.693421;17.358254;0.538658;0.731944;81.056259;2.515322;3.417891;4.284922;0.132969;0.180682;0;0;0;84.634907;2.626374;3.568792;-106880765#0;51.93;2.19
0.00;3000.00;806271971;414313.791303;13411.830309;13641.882017;6602.877139;213.742988;217.409299;40.223001;1.302066;1.324401;174.660435;5.653966;5.750948;9.041586;0.292687;0.297707;0;0;0;178.093954;5.765113;5.864002;-106880765#1;64.27;2.12
0.00;3000.00;806271971;1313633.074343;41802.166248;30015.392261;57603.849398;1833.058056;1316.198693;293.686807;9.345642;6.710492;585.386317;18.628045;13.375577;31.364366;0.998071;0.716649;0;0;0;564.694669;17.969600;12.902790;-106880765#3;465.96;10.65
0.00;3000.00;806271971;179450.636443;57271.479716;1717.150637;4559.808226;1455.257945;43.632487;25.107042;8.012886;0.240248;77.164954;24.627113;0.738386;3.983820;1.271432;0.038121;0;0;0;77.138602;24.618703;0.738134;-106880765#4;40.78;0.39
0.00;3000.00;806271971;1759243.485674;25998.672202;39512.784841;27555.219154;407.219988;618.892981;168.528890;2.490575;3.785176;751.270207;11.102515;16.873604;38.619695;0.570734;0.867402;0;0;0;756.214174;11.175579;16.984646;-106880765#5;203.64;4.57
0.00;3000.00;806271971;3469744.365441;92117.107047;28613.690211;162653.448516;4318.233146;1341.342444;823.005472;21.849703;6.787020;1555.111361;41.286142;12.824425;82.709458;2.195826;0.682074;0;0;0;1491.555678;39.598823;12.300304;-106880765#6;2331.98;19.23
0.00;3000.00;806271971;3070974.980330;70705.486884;30130.721961;45683.626642;1051.810283;448.222685;282.815037;6.511474;2.774826;1317.339372;30.330147;12.925011;66.174011;1.523577;0.649263;0;0;0;1320.062842;30.392851;12.951732;-106880765#7;358.56;3.52
0.00;3000.00;806271971;105697.436445;5550.850054;4888.623407;2343.736171;123.084613;108.400392;13.137928;0.689957;0.607644;44.931625;2.359648;2.078137;2.046039;0.107451;0.094632;0;0;0;45.435085;2.386088;2.101423;-106882052#0;62.73;2.90
0.00;3000.00;806271971;206866.445402;6965.200182;9603.424342;2351.298399;79.168296;109.155046;15.563605;0.524027;0.722514;82.508253;2.778056;3.830306;3.478187;0.117111;0.161469;0;0;0;88.922690;2.994030;4.128085;-106882052#1;60.32;2.80
0.00;3000.00;806271971;539411.964162;19722.558105;20783.519709;9918.119834;362.636923;382.144729;58.016260;2.121253;2.235364;231.461542;8.462945;8.918203;10.850547;0.396729;0.418071;0;0;0;231.869252;8.477852;8.933912;-106882052#2;95.55;3.68
