interval_begin;interval_end;interval_id;edge_CO2_abs;edge_CO2_normed;edge_CO2_perVeh;edge_CO_abs;edge_CO_normed;edge_CO_perVeh;edge_HC_abs;edge_HC_normed;edge_HC_perVeh;edge_NOx_abs;edge_NOx_normed;edge_NOx_perVeh;edge_PMx_abs;edge_PMx_normed;edge_PMx_perVeh;edge_electricity_abs;edge_electricity_normed;edge_electricity_perVeh;edge_fuel_abs;edge_fuel_normed;edge_fuel_perVeh;edge_id;edge_sampledSeconds;edge_traveltime
0.00;3000.00;806271971;277788.144748;8620.268262;11762.748596;4573.640030;141.928317;193.667652;27.723074;0.860297;1.173915;117.725899;3.653247;4.985022;6.409608;0.198902;0.271410;0;0;0;119.407783;3.705439;5.056241;-106880765#0;54.59;2.31
0.00;3000.00;806271971;487466.161009;15779.859542;16070.408393;8262.881275;267.479297;272.404296;49.583395;1.605073;1.634627;207.645827;6.721742;6.845507;10.830059;0.350582;0.357037;0;0;0;209.538742;6.783018;6.907912;-106880765#1;66.27;2.18
0.00;3000.00;806271971;1417040.438006;45092.774479;32378.162081;64173.152811;2042.105101;1466.301657;326.014142;10.374356;7.449144;632.801300;20.136875;14.458968;33.921525;1.079444;0.775078;0;0;0;609.148173;19.384190;13.918515;-106880765#3;515.40;11.78
0.00;3000.00;806271971;176831.874488;56435.704624;1694.373638;4536.940867;1447.959851;43.472214;24.935480;7.958132;0.238928;76.756133;24.496638;0.735465;3.953661;1.261807;0.037883;0;0;0;76.012841;24.259417;0.728342;-106880765#4;40.13;0.38
0.00;3000.00;806271971;1578862.450698;23332.942621;35461.408734;24128.150531;356.573653;541.920677;148.472927;2.194181;3.334717;669.380657;9.892325;15.034357;34.215765;0.505652;0.768490;0;0;0;678.677412;10.029715;15.243163;-106880765#5;199.26;4.48
0.00;3000.00;806271971;5270106.292976;139914.326362;42483.423596;258973.656330;6875.406805;2087.640539;1303.901899;34.616865;10.511025;2368.524142;62.881172;19.093166;125.726133;3.337862;1.013505;0;0;0;2265.495348;60.145894;18.262629;-106880765#6;2423.25;19.53
0.00;3000.00;806271971;3816399.362393;87867.982250;29511.277888;55975.074954;1288.758441;432.841491;347.853029;8.008896;2.689862;1636.793566;37.685193;12.656922;82.218309;1.892977;0.635774;0;0;0;1640.483908;37.770159;12.685459;-106880765#7;435.55;3.37
0.00;3000.00;806271971;100841.374569;5295.827111;4753.954628;2080.011596;109.234745;98.057774;11.839444;0.621765;0.558146;42.475956;2.230685;2.002440;1.890724;0.099294;0.089134;0;0;0;43.347623;2.276462;2.043533;-106882052#0;60.60;2.86
0.00;3000.00;806271971;174098.689508;5861.908738;8066.665635;2171.659449;73.119847;100.621381;13.991644;0.471099;0.648287;70.349992;2.368687;3.259587;3.009743;0.101338;0.139453;0;0;0;74.837290;2.519774;3.467501;-106882052#1;62.50;2.90
0.00;3000.00;806271971;540999.096776;19780.588548;20959.578593;10079.944943;368.553746;390.520797;58.785477;2.149378;2.277488;232.232197;8.491122;8.997222;10.882256;0.397889;0.421604;0;0;0;232.551594;8.502801;9.009596;-106882052#2;96.56;3.74
0.00;3000.00;806271971;4108163.693095;61862.171310;42107.393122;59828.348472;900.916278;613.221862;372.562468;5.610176;3.818649;1750.459029;26.359027;17.941658;88.503822;1.332722;0.907137;0;0;0;1765.899966;26.591542;18.099922;-112319055#0;453.87;4.65
0.00;3000.00;806271971;3148731.986308;24763.916526;32118.754355;34519.184154;271.483949;352.114185;230.342958;1.811584;2.349622;1236.390415;9.723873;12.611845;50.385085;0.396265;0.513955;0;0;0;1353.502986;10.644931;13.806456;-112319055#1;1189.30;12.13
0.00;3000.00;806271971;7200084.534363;108899.690462;70989.773451;28272.324285;427.612669;278.753102;1491.873762;22.564262;14.709241;41832.563362;632.708294;412.451296;847.749498;12.822024;8.358450;0;0;0;3076.327548;46.528776;30.331282;-112319056;519.89;5.13
0.00;3000.00;806271971;79791.710995;1133.404986;15076.750967;594.050739;8.438221;112.246685;4.463542;0.063403;0.843392;29.556453;0.419836;5.584731;1.073960;0.015255;0.202926;0;0;0;34.299092;0.487203;6.480860;-112319942#0;33.80;6.39
0.00;3000.00;806271971;67300.266765;6031.390599;5627.688237;1332.872695;119.450876;111.455606;7.661292;0.686598;0.640642;28.438304;2.548616;2.378028;1.312274;0.117605;0.109733;0;0;0;28.929559;2.592642;2.419107;-112319942#1;23.78;1.99
0.00;3000.00;806271971;196310.609160;1136.495229;48211.254552;2530.220761;14.648133;621.388307;16.106380;0.093244;3.955511;78.629400;0.455207;19.310327;3.325310;0.019251;0.816652;0;0;0;84.385402;0.488530;20.723924;-112319942#2;68.52;16.83
0.00;3000.00;806271971;242206.716832;3718.153514;21047.054765;4159.608101;63.854800;361.457769;24.632804;0.378142;2.140519;99.641872;1.529618;8.658587;4.365740;0.067019;0.379370;0;0;0;104.114540;1.598279;9.047249;-112319942#3;88.45;7.69
