tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
9.00;-6055573#4_0;4.76;4.94;1.00;0.00;6055573#3_0;5.10;0.00;tripinfo_1 emissions_1;8.00;1;0;37.43;0.94;0.00;4.34;DEFAULT_VEHTYPE;;0;0.00;25810.618754;677.473956;3.695611;11.274470;0.536012;0;11.094977
49.00;-421789039#0_1;62.12;7.66;5.00;0.00;421789039#7_0;5.10;0.00;tripinfo_5 emissions_5;44.00;5;0;392.84;0.94;0.00;11.46;DEFAULT_VEHTYPE;;0;0.00;125589.028013;2313.309401;13.481800;52.076034;2.278819;0;53.985551
57.00;-6055023#2_0;37.71;11.81;14.00;0.00;-6063369#8_0;5.10;0.00;tripinfo_14 emissions_14;43.00;14;0;262.42;0.94;0.00;21.89;DEFAULT_VEHTYPE;;2;8.00;123005.934634;2674.952116;15.084180;52.310093;2.398920;0;52.875257
61.00;-6055576#1_0;124.93;15.81;34.00;0.00;-6055573#4_0;4.76;0.00;tripinfo_34 emissions_34;27.00;34;0;290.60;1.18;0.00;7.28;DEFAULT_VEHTYPE;;0;0.00;115698.440656;1864.317670;11.202376;48.007555;2.180887;0;49.733687
63.00;6060452#11_1;154.07;12.48;2.00;2.00;806271971_1;5.10;0.00;tripinfo_Flow3.0 emissions_Flow3.0;61.00;Flow3.0;0;414.00;1.08;21.00;11.00;motorcycle;;0;0.00;238216.117120;11203.077578;47.860966;50.813996;15.665974;0;102.412496
65.00;-6057280#0_0;10.41;7.31;16.00;0.00;6055573#3_0;5.10;0.00;tripinfo_16 emissions_16;49.00;16;0;510.88;1.16;0.00;14.55;DEFAULT_VEHTYPE;;1;1.00;153211.284945;2538.360396;15.071175;63.045072;2.815188;0;65.858978
66.00;6054382#1_0;21.27;14.11;17.00;0.00;-793432602#2_0;5.10;0.00;tripinfo_17 emissions_17;49.00;17;0;562.59;1.02;0.00;7.07;DEFAULT_VEHTYPE;;0;0.00;128101.949904;1901.406742;11.667976;52.216600;2.261949;0;55.065506
73.00;-6057280#3_0;61.01;13.17;8.00;0.00;-112319055#1_0;5.10;0.00;tripinfo_8 emissions_8;65.00;8;0;693.08;1.03;0.00;16.40;DEFAULT_VEHTYPE;;0;0.00;254280.913198;4219.431523;25.277322;107.369583;4.992444;0;109.303970
74.00;-6054524#0_0;257.49;15.64;27.00;0.00;-6061782#0_0;5.10;0.00;tripinfo_27 emissions_27;47.00;27;0;526.23;1.18;0.00;17.34;DEFAULT_VEHTYPE;;1;2.00;179929.057540;2933.426838;17.558379;75.257920;3.521446;0;77.343460
75.00;-6061786#9_0;59.83;12.08;24.00;0.00;6061786#1_0;5.10;0.00;tripinfo_24 emissions_24;51.00;24;0;523.97;0.95;0.00;10.10;DEFAULT_VEHTYPE;;0;0.00;158224.880891;2519.446165;15.189328;64.755027;2.794564;0;68.014176
75.00;-6061786#14_0;47.86;14.40;42.00;0.00;131463037_0;5.10;0.00;tripinfo_42 emissions_42;33.00;42;0;302.72;1.09;0.00;14.98;DEFAULT_VEHTYPE;;0;0.00;167130.120258;3043.491241;17.866460;71.833690;3.451807;0;71.841703
82.00;6061782#2_0;27.21;11.46;50.00;0.00;6060452#10_0;5.10;0.00;tripinfo_50 emissions_50;32.00;50;0;267.73;1.10;0.00;12.00;DEFAULT_VEHTYPE;;0;0.00;135511.772909;2494.085380;14.550827;57.645751;2.674571;0;58.250587
83.00;800638460#4_0;106.19;24.82;45.00;1.00;-6055573#9_0;5.10;0.00;tripinfo_44 emissions_44;38.00;44;0;450.19;0.90;0.00;9.29;DEFAULT_VEHTYPE;;0;0.00;185358.488385;3043.325579;18.312287;77.731654;3.725137;0;79.677263
85.00;6055573#2_0;165.76;14.93;28.00;0.00;6063369#2_0;5.10;0.00;tripinfo_28 emissions_28;57.00;28;0;280.25;1.15;0.00;38.97;DEFAULT_VEHTYPE;;2;27.00;160743.548541;5595.578279;29.252014;69.988441;3.468361;0;69.098461
90.00;421789044#1_0;117.75;10.79;3.00;0.00;-507342038#0_0;5.10;0.00;tripinfo_3 emissions_3;87.00;3;0;970.45;1.05;0.00;13.89;DEFAULT_VEHTYPE;;0;0.00;242810.425323;3625.338652;22.181304;98.883465;4.268322;0;104.373774
93.00;6060452#8_1;22.56;9.14;62.00;0.00;507342038#1_0;5.10;0.00;tripinfo_62 emissions_62;31.00;62;0;157.82;0.94;0.00;16.89;DEFAULT_VEHTYPE;;1;7.00;80549.044425;1971.742612;10.876651;34.383513;1.589798;0;34.624922
95.00;-6057280#2_0;30.23;12.86;25.00;0.00;-6055573#5_0;5.10;0.00;tripinfo_25 emissions_25;70.00;25;0;799.60;1.13;0.00;17.34;DEFAULT_VEHTYPE;;0;0.00;262101.164609;4077.048666;24.693792;108.612217;4.903080;0;112.665718
99.00;-6063369#7_0;55.64;16.14;30.00;0.00;-6058243#3_0;5.10;0.00;tripinfo_30 emissions_30;69.00;30;0;786.51;1.17;0.00;17.40;DEFAULT_VEHTYPE;;0;0.00;300562.739587;4592.949665;27.990340;125.159243;5.735446;0;129.198424
100.00;6060452#11_0;154.07;10.76;21.00;0.00;6054382#1_0;5.10;0.00;tripinfo_21 emissions_21;79.00;21;0;734.85;0.83;0.00;12.05;DEFAULT_VEHTYPE;;0;0.00;194092.074031;3362.229196;19.846050;79.689969;3.389134;0;83.432203
105.00;-507342041#1_0;100.47;13.33;11.00;0.00;-130908153#5_0;5.10;0.00;tripinfo_11 emissions_11;94.00;11;0;974.28;0.99;0.00;40.45;DEFAULT_VEHTYPE;;1;13.00;413510.737532;7737.983090;45.177274;174.724216;8.534874;0;177.750116
106.00;6061786#4_0;34.48;3.59;4.00;4.00;806271971_1;5.10;0.00;tripinfo_Flow4.0 emissions_Flow4.0;102.00;Flow4.0;0;832.18;1.03;21.00;21.22;motorcycle;;0;0.00;332697.339301;13882.484488;60.556464;71.741589;20.059329;0;143.030479
108.00;421789039#1_2;18.21;9.15;36.00;0.00;507342041#1_0;5.10;0.00;tripinfo_36 emissions_36;72.00;36;0;562.83;0.90;0.00;23.37;DEFAULT_VEHTYPE;;1;6.00;199459.203383;4138.124255;23.522223;83.319535;3.689819;0;85.739570
111.00;130908153#3_0;33.74;11.61;69.00;0.00;-6055023#1_0;5.10;0.00;tripinfo_69 emissions_69;42.00;69;0;416.88;0.97;0.00;13.13;DEFAULT_VEHTYPE;;0;0.00;148342.877172;2476.935926;14.772991;61.194317;2.689557;0;63.766310
113.00;-6057932#4_0;34.17;14.30;82.00;0.00;130908064#7_0;5.10;0.00;tripinfo_82 emissions_82;31.00;82;0;305.53;1.15;0.00;12.87;DEFAULT_VEHTYPE;;0;0.00;144201.172491;2582.086769;15.204236;61.688293;2.919423;0;61.985625
118.00;-6060452#7_0;23.11;13.47;60.00;0.00;507341800#1_0;5.10;0.00;tripinfo_60 emissions_60;58.00;60;0;586.66;1.02;0.00;15.34;DEFAULT_VEHTYPE;;1;1.00;185677.275470;2986.796589;17.975721;76.359918;3.347950;0;79.814727
120.00;6063369#7_0;55.64;12.24;108.00;0.00;6054382#1_0;5.10;0.00;tripinfo_108 emissions_108;12.00;108;0;80.84;0.96;0.00;4.64;DEFAULT_VEHTYPE;;0;0.00;43654.238540;937.112116;5.294409;18.412612;0.830918;0;18.765207
122.00;6061786#2_0;0.20;10.82;2.00;0.00;-421800694#5_0;5.10;0.00;tripinfo_2 emissions_2;120.00;2;0;988.32;0.83;0.00;56.75;DEFAULT_VEHTYPE;;2;27.00;434559.736284;9728.676672;54.681270;185.197303;8.948643;0;186.799378
123.00;-126303358#6_1;39.02;11.67;15.00;0.00;637504388#1_0;5.10;0.00;tripinfo_15 emissions_15;108.00;15;0;767.07;0.94;0.00;75.14;DEFAULT_VEHTYPE;;2;40.00;398745.462189;10530.848293;57.530654;172.133298;8.674401;0;171.405040
